column,count,type,description,udi,name
1,501674,Integer,Verbal interview duration,3-0.0,verbal_interview_duration
190,501683,Integer,Touchscreen duration,630-0.0,touchscreen_duration
901,20474,Integer,Number of antibiotics taken in last 3 months,6671-2.0,antibiotics_n_past_3_months
1759,1333,Categorical (multiple),Antibiotic codes for last 3 months,20199-2.0,antibiotics_codes_past_3_months
1763,157356,Categorical (single),Ever addicted to any substance or behaviour,20401-0.0,UD_any_substance_or_behavior_ever
1764,143670,Categorical (single),Amount of alcohol drunk on a typical drinking day,20403-0.0,alcohol_typical_drinking_day_amount
1765,3593,Categorical (single),Ever physically dependent on alcohol,20404-0.0,alcohol_physically_dependent_ever
1759,1333,Categorical (multiple),Antibiotic codes for last 3 months,20199-2.0,antibiotic_codes_past_3_months
1766,157356,Categorical (single),"Ever had known person concerned about, or recommend reduction of, alcohol consumption",20405-0.0,alcohol_suggested_reduction_ever
1767,9384,Categorical (single),Ever addicted to alcohol,20406-0.0,alcohol_UD_ever
1768,85199,Categorical (single),Frequency of failure to fulfil normal expectations due to drinking alcohol in last year,20407-0.0,alcohol_failure_to_meet_normal_expectations_frequency
1769,85199,Categorical (single),Frequency of memory loss due to drinking alcohol in last year,20408-0.0,alcohol_memory_loss_frequency
1770,85199,Categorical (single),Frequency of feeling guilt or remorse after drinking alcohol in last year,20409-0.0,alcohol_guilt_or_remorse_feelings_frequency
1771,7023,Integer,Age when known person last commented about drinking habits,20410-0.0,alcohol_last_comment_on_habits_age
1772,157356,Categorical (single),Ever been injured or injured someone else through drinking alcohol,20411-0.0,alcohol_injury_self_or_others_ever
1773,85199,Categorical (single),Frequency of needing morning drink of alcohol after heavy drinking session in last year,20412-0.0,alcohol_morning_alcohol_after_heavy_drinking_frequency
1774,85199,Categorical (single),Frequency of inability to cease drinking in last year,20413-0.0,alcohol_inability_to_quit_frequency_last_year
1775,157356,Categorical (single),Frequency of drinking alcohol,20414-0.0,alcohol_drinking_frequency
1776,3593,Categorical (single),Ongoing addiction to alcohol,20415-0.0,alcohol_UD_ongoing
1777,143670,Categorical (single),Frequency of consuming six or more units of alcohol,20416-0.0,alcohol_consume_6_or_more_units_frequency
1778,9384,Categorical (single),Ever addicted to a behaviour or miscellanous,20431-0.0,UD_behavior_miscellaneous_ever
1779,2243,Categorical (single),Ongoing behavioural or miscellanous addiction,20432-0.0,UD_behavior_miscellaneous_ongoing
1780,9384,Categorical (single),Ever addicted to illicit or recreational drugs,20456-0.0,UD_drugs_ever
1781,778,Categorical (single),Ongoing addiction or dependence on illicit or recreational drugs,20457-0.0,UD_drugs_ongoing
1782,9384,Categorical (single),Ever addicted to prescription or over-the-counter medication,20503-0.0,UD_drugs_prescription_ever
1783,1319,Categorical (single),Ongoing addiction or dependence to over-the-counter medication,20504-0.0,UD_drugs_prescription_ongoing
1784,1319,Categorical (multiple),Substance of prescription or over-the-counter medication addiction,20551-0.1,UD_drugs_prescription_substance
1787,2243,Categorical (multiple),Behavioural and miscellaneous addictions,20552-0.1,UD_behavior_miscellaneous_habits
1796,174778,Time,When digestive health questionnaire completed,21023-0.0,digestive_health_questionnaire_completion_date
1797,174778,Categorical (single),Ever diagnosed with IBS,21024-0.0,GI_IBS_dx
1798,174778,Categorical (single),Frequency of discomfort/pain in abdomen in last 3 months,21025-0.0,GI_abdominal_pain_past_3_months_frequency
1799,61024,Categorical (single),Discomfort/pain occurring only during menstrual bleed,21026-0.0,GU_menstrual_pain_only
1800,93901,Categorical (single),Abdominal discomfort/pain for 6 months or longer,21027-0.0,GI_abdominal_pain_6_months_or_longer
1801,93901,Categorical (single),Frequency of discomfort/pain getting better or stopping after a bowel movement,21028-0.0,GI_abdominal_pain_BM_relieves_frequency
1802,93901,Categorical (single),More frequent bowel movements when abdominal discomfort/pain started,21029-0.0,GI_abdominal_pain_onset_BM_more_frequent
1803,93901,Categorical (single),Less frequent bowel movements when abdominal discomfort/pain started,21030-0.0,GI_abdominal_pain_onset_BM_less_frequent
1804,93901,Categorical (single),Stools looser when abdominal discomfort/pain started,21031-0.0,GI_abdominal_pain_onset_stools_looser
1805,93901,Categorical (single),Frequency of harder stools when abdominal discomfort/pain started,21032-0.0,GI_abdominal_pain_onset_stools_harder_frequency
